,Random Forest,Gradient Boosting,Logistic Regression,Decision Tree,SVM,Mean,Std,Score,Model_Count
MexR,0.0587283945027307,0.13144373637327625,,0.4230769230769231,,0.20441635131764335,0.1574403897086321,1.2208305993156978,3
Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,0.050308712495340684,0.05465727777516665,,0.0,,0.034988663423502445,0.024804333373029536,1.0052961810386447,2
nalC,0.04468778725040841,0.04516300393604821,,0.0,,0.02995026372881887,0.02117892318310715,0.960593268501525,2
tetR,0.037946858444108604,0.04837992898241437,,0.0,,0.028775595808840992,0.020788433095187915,0.9346235880168412,2
Escherichia coli gyrA conferring resistance to fluoroquinolones,0.020601320141778845,0.020271021582384245,,0.20512820512820512,,0.08200018228412274,0.0870647643286469,0.8447986542931509,3
MexS,0.026947842552623856,0.07617709471307942,,0.0,,0.03437497908856776,0.0315394906698891,0.8275252906142464,2
Escherichia coli soxS with mutation conferring antibiotic resistance,0.033703079153166414,0.1974666107236885,,0.0,,0.07705656329228498,0.08624735369051732,0.8006096826314811,2
MexZ,0.03802469169484355,2.3815352885602112e-05,,0.28787878787878785,,0.10864243164217234,0.1276852123999314,0.7890639070708689,3
MexT,0.02171254486824056,0.04972425525922966,,0.0,,0.023812266709156742,0.020354066164252824,0.7844835871511611,2
Mycolicibacterium smegmatis ndh with mutation conferring resistance to isoniazid,0.030404785638584352,0.25929000237172656,,0.0,,0.0965649293367703,0.11573158541241295,0.7680244309337791,2
Mycobacterium leprae folP with mutation conferring resistance to dapsone,0.019122006419142662,0.07417285875657685,,0.0,,0.031098288391906505,0.031442823679912885,0.7503901913657413,2
Escherichia coli UhpT with mutation conferring resistance to fosfomycin,0.0016507936507936514,0.0,,0.08391608391608392,,0.028522292522292523,0.03917512283455351,0.5800146675434632,2
Escherichia coli fabI mutations conferring resistance to isoniazid and triclosan,0.03518504312113493,0.0,,0.0,,0.011728347707044976,0.016586388391530395,0.44114106565829253,1
basR,0.03513134840830758,0.0,,0.0,,0.011710449469435861,0.01656107646116101,0.44088760809673855,1
Clostridioides difficile gyrB conferring resistance to fluoroquinolones,0.03494314667765756,9.194809552989966e-07,,0.0,,0.011648022052870953,0.01647214059504949,0.4400105843744737,2
Helicobacter pylori pbp1 mutants conferring resistance to amoxicillin,0.03062409957363575,1.2262794630111357e-17,,0.0,,0.010208033191211921,0.014436338984166595,0.41773987493896547,2
Staphylococcus aureus parE conferring resistance to aminocoumarin,0.0,0.024069882016066305,,0.0,,0.008023294005355435,0.011346651197280408,0.3758572682528121,1
Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,0.02020890367862875,1.044800560706415e-07,,0.0,,0.006736336052894941,0.009526543928246211,0.3449835299912169,2
Escherichia coli uhpA with mutation conferring resistance to fosfomycin,0.019839712671218708,0.0,,0.0,,0.006613237557072903,0.009352530244407613,0.3417246981946436,1
Clostridioides difficile gyrA conferring resistance to fluoroquinolones,0.018462980469310296,0.0,,0.0,,0.006154326823103432,0.008703532460509398,0.3290462288927327,1
lmrA,0.01797994433536142,0.0,,0.0,,0.005993314778453807,0.008475827043260475,0.32438681983873735,1
Neisseria meningititis PBP2 conferring resistance to beta-lactam,0.014774076045783721,7.34942350911478e-07,,0.0,,0.004924936996044877,0.006964393017382683,0.2903102392757882,2
Escherichia coli fabG mutations conferring resistance to triclosan,0.014206490045740676,0.0,,0.0,,0.004735496681913558,0.006697003632134946,0.28361356242383823,1
Type A NfxB,0.01414109601048671,0.0,,0.0,,0.004713698670162236,0.006666176588283457,0.28283023674884306,1
Enterococcus faecium liaR mutant conferring daptomycin resistance,0.013354898085278502,6.611668662871361e-07,,0.0,,0.004451853084048263,0.006295403499365415,0.27319686095662676,2
nalD,0.0133378437176492,6.54532442265797e-06,,0.0,,0.00444812968069062,0.006285977646290288,0.2731263530687603,2
Mycobacterium leprae rpoB mutations conferring resistance to rifampicin,0.0,0.013140520534772783,,0.0,,0.004380173511590928,0.0061945007856392745,0.27047289506294103,1
Streptococcus pneumoniae PBP2x conferring resistance to amoxicillin,0.012568729314654773,0.0,,0.0,,0.004189576438218258,0.005924955819527025,0.2630824528304838,1
Staphylococcus aureus fusA with mutation conferring resistance to fusidic acid,0.012567935584069871,0.0,,0.0,,0.004189311861356623,0.005924581651341013,0.26307201991732326,1
Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A,0.012522269555334033,0.0,,0.0,,0.004174089851778011,0.005903054478948365,0.26247095218742117,1
Thermus thermophilus uL3 mutations conferring resistance to pleuromutilin antibiotics,0.012480037312591442,0.0,,0.0,,0.004160012437530481,0.0058831460087963635,0.26191363066401285,1
Borreliella burgdorferi murA with mutation conferring resistance to fosfomycin,0.012431628878777617,0.0,,0.0,,0.004143876292925872,0.005860326054252114,0.26127308346318073,1
"Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime",0.012341860530537142,1.1248971024268297e-06,,0.0,,0.004114328475879856,0.005817743726403346,0.2601084293085444,2
